"area","geographic_level","time_period","all_unknown","all_notsust","cohort","appren","education","all_work"
"Hull and East Yorkshire","LSIP",201819,"31","265","5383","375","4530","182"
"Hull and East Yorkshire","LSIP",201920,"30","278","5371","366","4520","177"
"Kent and Medway","LSIP",201516,"97","1005","18826","702","16509","513"
"Kent and Medway","LSIP",201617,"144","896","18222","698","15972","512"
"Kent and Medway","LSIP",201718,"151","784","17832","613","15671","613"
"Kent and Medway","LSIP",201819,"178","844","17975","587","15760","606"
"Kent and Medway","LSIP",201920,"166","901","18465","529","16286","583"
"Lancashire","LSIP",201516,"105","942","15814","1019","13228","520"
"Lancashire","LSIP",201617,"101","826","15181","1130","12613","511"
"Lancashire","LSIP",201718,"94","857","14973","1056","12433","533"
"Lancashire","LSIP",201819,"122","795","14571","904","12176","574"
"Lancashire","LSIP",201920,"136","830","15082","882","12627","607"
"Leicester and Leicestershire","LSIP",201516,"76","545","10398","538","8946","293"
"Leicester and Leicestershire","LSIP",201617,"80","590","10232","481","8768","313"
"Leicester and Leicestershire","LSIP",201718,"81","553","9982","524","8499","325"
"Leicester and Leicestershire","LSIP",201819,"93","529","10145","462","8711","350"
"Leicester and Leicestershire","LSIP",201920,"86","635","10511","402","9059","329"
"Liverpool City Region","LSIP",201516,"79","972","15585","789","13275","470"
"Liverpool City Region","LSIP",201617,"111","983","15011","682","12718","517"
"Liverpool City Region","LSIP",201718,"90","908","14474","614","12275","587"
"Liverpool City Region","LSIP",201819,"108","910","14177","580","12013","566"
"Liverpool City Region","LSIP",201920,"107","968","14727","545","12609","498"
"Norfolk and Suffolk ","LSIP",201516,"55","596","11628","646","9960","371"
"Norfolk and Suffolk ","LSIP",201617,"37","561","11206","605","9631","372"
"Norfolk and Suffolk ","LSIP",201718,"61","477","10747","542","9310","357"
"Norfolk and Suffolk ","LSIP",201819,"55","478","10461","515","9097","316"
"Norfolk and Suffolk ","LSIP",201920,"87","578","14379","632","12579","503"
"Norfolk and Suffolk (Greater Anglia)","LSIP",201516,"15","189","3830","169","3348","109"
"Norfolk and Suffolk (Greater Anglia)","LSIP",201617,"7","168","3736","216","3224","121"
"Norfolk and Suffolk (Greater Anglia)","LSIP",201718,"16","131","3612","173","3163","129"
"Norfolk and Suffolk (Greater Anglia)","LSIP",201819,"19","151","3559","172","3108","109"
"North East","LSIP",201516,"37","776","11360","805","9356","386"
"North East","LSIP",201617,"59","629","10917","757","9118","354"
"North East","LSIP",201718,"66","737","10442","668","8546","425"
"North East","LSIP",201819,"63","685","10237","640","8508","341"
"North East","LSIP",201920,"68","724","10637","585","8917","343"
"North of Tyne","LSIP",201516,"46","452","7685","479","6451","257"
"North of Tyne","LSIP",201617,"52","462","7364","438","6106","306"
"North of Tyne","LSIP",201718,"58","483","7281","412","6012","316"
"North of Tyne","LSIP",201819,"54","469","7208","348","6049","288"
"North of Tyne","LSIP",201920,"43","495","7233","393","6025","277"
"Oxfordshire","LSIP",201516,"35","247","6108","366","5235","225"
"Oxfordshire","LSIP",201617,"36","256","5894","339","5051","212"
"Oxfordshire","LSIP",201718,"60","251","5859","262","5078","208"
"Oxfordshire","LSIP",201819,"66","232","5794","302","4912","282"
"Oxfordshire","LSIP",201920,"54","265","6065","313","5185","248"
"Solent","LSIP",201516,"78","641","11358","592","9624","423"
"Solent","LSIP",201617,"106","654","10955","591","9141","463"
"Solent","LSIP",201718,"67","558","10602","510","9027","440"
"Solent","LSIP",201819,"74","616","10235","481","8653","411"
"Solent","LSIP",201920,"92","661","10639","438","8980","468"
"South East Midlands","LSIP",201516,"138","903","17427","745","15099","542"
"South East Midlands","LSIP",201617,"143","893","17046","751","14691","568"
"South East Midlands","LSIP",201718,"147","781","16654","691","14451","584"
"South East Midlands","LSIP",201819,"154","795","16733","620","14552","612"
"South East Midlands","LSIP",201920,"178","737","17269","532","15233","589"
"South Yorkshire","LSIP",201516,"72","858","13879","1041","11408","500"
"South Yorkshire","LSIP",201617,"85","848","13446","885","11092","536"
"South Yorkshire","LSIP",201718,"85","821","12954","782","10672","594"
"South Yorkshire","LSIP",201819,"109","780","12817","763","10608","557"
"South Yorkshire","LSIP",201920,"86","915","13176","712","10928","535"
"Stoke-on-Trent and Staffordshire","LSIP",201516,"24","479","11101","684","9520","394"
"Stoke-on-Trent and Staffordshire","LSIP",201617,"47","467","10772","739","9123","396"
"Stoke-on-Trent and Staffordshire","LSIP",201718,"74","463","10353","675","8795","346"
"Stoke-on-Trent and Staffordshire","LSIP",201819,"75","439","10166","641","8555","456"
"Stoke-on-Trent and Staffordshire","LSIP",201920,"66","575","10573","570","8880","482"
"Swindon and Wiltshire","LSIP",201516,"38","268","7127","264","6369","188"
"Swindon and Wiltshire","LSIP",201617,"28","246","6881","317","6096","194"
"Swindon and Wiltshire","LSIP",201718,"65","264","6638","232","5882","195"
"Swindon and Wiltshire","LSIP",201819,"54","242","6513","242","5784","191"
"Swindon and Wiltshire","LSIP",201920,"75","248","6789","233","6021","212"
"Tees Valley","LSIP",201516,"29","543","7312","432","6108","200"
"Tees Valley","LSIP",201617,"47","538","7093","402","5897","209"
"Tees Valley","LSIP",201718,"40","460","6718","344","5635","239"
"Tees Valley","LSIP",201819,"43","519","6721","342","5602","215"
"Tees Valley","LSIP",201920,"34","509","6894","304","5801","246"
"Thames Valley Berkshire","LSIP",201516,"58","261","8844","307","8014","204"
"Thames Valley Berkshire","LSIP",201617,"75","306","8728","340","7795","212"
"Thames Valley Berkshire","LSIP",201718,"78","270","8738","284","7842","264"
"Thames Valley Berkshire","LSIP",201819,"74","303","8527","254","7655","241"
"Thames Valley Berkshire","LSIP",201920,"81","314","9053","247","8154","257"
"The Marches","LSIP",201516,"55","331","6805","362","5791","266"
"The Marches","LSIP",201617,"52","313","6614","341","5653","255"
"The Marches","LSIP",201718,"45","318","6236","297","5365","211"
"The Marches","LSIP",201819,"65","294","6279","307","5358","255"
"The Marches","LSIP",201920,"98","338","6451","301","5451","263"
"West Midlands and Warwickshire","LSIP",201516,"329","2014","36651","1532","31877","899"
"West Midlands and Warwickshire","LSIP",201617,"382","1897","36093","1664","31210","940"
"West Midlands and Warwickshire","LSIP",201718,"411","1927","35797","1311","31174","974"
"West Midlands and Warwickshire","LSIP",201819,"445","1930","35913","1286","31352","900"
"West Midlands and Warwickshire","LSIP",201920,"481","1989","37308","1123","32772","943"
"West of England and North Somerset","LSIP",201516,"69","516","10104","580","8656","283"
"West of England and North Somerset","LSIP",201617,"77","501","9896","587","8355","376"
"West of England and North Somerset","LSIP",201718,"89","469","9728","527","8278","365"
"West of England and North Somerset","LSIP",201819,"65","440","9581","495","8236","345"
"West of England and North Somerset","LSIP",201920,"111","483","10009","492","8603","320"
"West Yorkshire","LSIP",201516,"245","1506","24360","1310","20674","625"
"West Yorkshire","LSIP",201617,"247","1463","23718","1258","20068","682"
"West Yorkshire","LSIP",201718,"261","1455","23166","1092","19681","677"
"West Yorkshire","LSIP",201819,"271","1463","23512","1180","19879","719"
"West Yorkshire","LSIP",201920,"257","1407","24023","1047","20561","751"
"Worcestershire","LSIP",201516,"30","212","5583","291","4842","208"
"Worcestershire","LSIP",201617,"31","226","5467","299","4734","177"
"Worcestershire","LSIP",201718,"32","204","5246","272","4541","197"
"Worcestershire","LSIP",201819,"27","193","5143","269","4465","189"
"Worcestershire","LSIP",201920,"50","243","5336","229","4616","198"
"York and North Yorkshire","LSIP",201516,"37","291","8063","477","7020","238"
"York and North Yorkshire","LSIP",201617,"49","274","7674","447","6696","208"
"York and North Yorkshire","LSIP",201718,"36","286","7428","418","6446","242"
"York and North Yorkshire","LSIP",201819,"54","289","7487","422","6439","283"
"York and North Yorkshire","LSIP",201920,"48","341","7736","363","6655","329"
