"area","geographic_level","time_period","age_group","level_or_type","achievements","Year","level_or_typeNeat","AY"
"Enterprise M3","LEP",202021,NA,"Apprenticeships: Total",3670,20,"Apprenticeships (all ages)","20/21"
"Enterprise M3","LEP",202021,NA,"Community learning: Total",6950,20,"Community learning (adults only)","20/21"
"Enterprise M3","LEP",202021,NA,"Education and training: Total",10690,20,"Education and training (adults only)","20/21"
"Enterprise M3","LEP",202021,NA,"Further education and skills: Total",21800,20,"Total FE and skills provision","20/21"
"Gloucestershire","LEP",202021,NA,"Apprenticeships: Total",2020,20,"Apprenticeships (all ages)","20/21"
"Gloucestershire","LEP",202021,NA,"Community learning: Total",1750,20,"Community learning (adults only)","20/21"
"Gloucestershire","LEP",202021,NA,"Education and training: Total",5850,20,"Education and training (adults only)","20/21"
"Gloucestershire","LEP",202021,NA,"Further education and skills: Total",9560,20,"Total FE and skills provision","20/21"
"Greater Birmingham and Solihull","LEP",202021,NA,"Apprenticeships: Total",5320,20,"Apprenticeships (all ages)","20/21"
"Greater Birmingham and Solihull","LEP",202021,NA,"Community learning: Total",6410,20,"Community learning (adults only)","20/21"
"Greater Birmingham and Solihull","LEP",202021,NA,"Education and training: Total",28580,20,"Education and training (adults only)","20/21"
"Greater Birmingham and Solihull","LEP",202021,NA,"Further education and skills: Total",38740,20,"Total FE and skills provision","20/21"
"Greater Cambridge and Greater Peterborough","LEP",202021,NA,"Apprenticeships: Total",2090,20,"Apprenticeships (all ages)","20/21"
"Greater Cambridge and Greater Peterborough","LEP",202021,NA,"Community learning: Total",2870,20,"Community learning (adults only)","20/21"
"Greater Cambridge and Greater Peterborough","LEP",202021,NA,"Education and training: Total",6710,20,"Education and training (adults only)","20/21"
"Greater Cambridge and Greater Peterborough","LEP",202021,NA,"Further education and skills: Total",11540,20,"Total FE and skills provision","20/21"
"Greater Lincolnshire","LEP",202021,NA,"Apprenticeships: Total",3310,20,"Apprenticeships (all ages)","20/21"
"Greater Lincolnshire","LEP",202021,NA,"Community learning: Total",6300,20,"Community learning (adults only)","20/21"
"Greater Lincolnshire","LEP",202021,NA,"Education and training: Total",12990,20,"Education and training (adults only)","20/21"
"Greater Lincolnshire","LEP",202021,NA,"Further education and skills: Total",21870,20,"Total FE and skills provision","20/21"
"Greater Manchester","LEP",202021,NA,"Apprenticeships: Total",8710,20,"Apprenticeships (all ages)","20/21"
"Greater Manchester","LEP",202021,NA,"Community learning: Total",12960,20,"Community learning (adults only)","20/21"
"Greater Manchester","LEP",202021,NA,"Education and training: Total",38290,20,"Education and training (adults only)","20/21"
"Greater Manchester","LEP",202021,NA,"Further education and skills: Total",55830,20,"Total FE and skills provision","20/21"
"Heart of the South West","LEP",202021,NA,"Apprenticeships: Total",6050,20,"Apprenticeships (all ages)","20/21"
"Heart of the South West","LEP",202021,NA,"Community learning: Total",6940,20,"Community learning (adults only)","20/21"
"Heart of the South West","LEP",202021,NA,"Education and training: Total",20050,20,"Education and training (adults only)","20/21"
"Heart of the South West","LEP",202021,NA,"Further education and skills: Total",33140,20,"Total FE and skills provision","20/21"
"Hertfordshire","LEP",202021,NA,"Apprenticeships: Total",2540,20,"Apprenticeships (all ages)","20/21"
"Hertfordshire","LEP",202021,NA,"Community learning: Total",4710,20,"Community learning (adults only)","20/21"
"Hertfordshire","LEP",202021,NA,"Education and training: Total",8860,20,"Education and training (adults only)","20/21"
"Hertfordshire","LEP",202021,NA,"Further education and skills: Total",15890,20,"Total FE and skills provision","20/21"
"Hull and East Yorkshire","LEP",202021,NA,"Apprenticeships: Total",2900,20,"Apprenticeships (all ages)","20/21"
"Hull and East Yorkshire","LEP",202021,NA,"Community learning: Total",1420,20,"Community learning (adults only)","20/21"
"Hull and East Yorkshire","LEP",202021,NA,"Education and training: Total",7910,20,"Education and training (adults only)","20/21"
"Hull and East Yorkshire","LEP",202021,NA,"Further education and skills: Total",12260,20,"Total FE and skills provision","20/21"
"Lancashire","LEP",202021,NA,"Apprenticeships: Total",4860,20,"Apprenticeships (all ages)","20/21"
"Lancashire","LEP",202021,NA,"Community learning: Total",9590,20,"Community learning (adults only)","20/21"
"Lancashire","LEP",202021,NA,"Education and training: Total",19570,20,"Education and training (adults only)","20/21"
"Lancashire","LEP",202021,NA,"Further education and skills: Total",31920,20,"Total FE and skills provision","20/21"
"Leeds City Region","LEP",202021,NA,"Apprenticeships: Total",7330,20,"Apprenticeships (all ages)","20/21"
"Leeds City Region","LEP",202021,NA,"Community learning: Total",9040,20,"Community learning (adults only)","20/21"
"Leeds City Region","LEP",202021,NA,"Education and training: Total",33620,20,"Education and training (adults only)","20/21"
"Leeds City Region","LEP",202021,NA,"Further education and skills: Total",49190,20,"Total FE and skills provision","20/21"
"Leicester and Leicestershire","LEP",202021,NA,"Apprenticeships: Total",2880,20,"Apprenticeships (all ages)","20/21"
"Leicester and Leicestershire","LEP",202021,NA,"Community learning: Total",3220,20,"Community learning (adults only)","20/21"
"Leicester and Leicestershire","LEP",202021,NA,"Education and training: Total",13150,20,"Education and training (adults only)","20/21"
"Leicester and Leicestershire","LEP",202021,NA,"Further education and skills: Total",18960,20,"Total FE and skills provision","20/21"
"Liverpool City Region","LEP",202021,NA,"Apprenticeships: Total",4680,20,"Apprenticeships (all ages)","20/21"
"Liverpool City Region","LEP",202021,NA,"Community learning: Total",9840,20,"Community learning (adults only)","20/21"
"Liverpool City Region","LEP",202021,NA,"Education and training: Total",24080,20,"Education and training (adults only)","20/21"
"Liverpool City Region","LEP",202021,NA,"Further education and skills: Total",36280,20,"Total FE and skills provision","20/21"
"London","LEP",202021,NA,"Apprenticeships: Total",15280,20,"Apprenticeships (all ages)","20/21"
"London","LEP",202021,NA,"Community learning: Total",54410,20,"Community learning (adults only)","20/21"
"London","LEP",202021,NA,"Education and training: Total",140370,20,"Education and training (adults only)","20/21"
"London","LEP",202021,NA,"Further education and skills: Total",204320,20,"Total FE and skills provision","20/21"
"New Anglia","LEP",202021,NA,"Apprenticeships: Total",4530,20,"Apprenticeships (all ages)","20/21"
"New Anglia","LEP",202021,NA,"Community learning: Total",4700,20,"Community learning (adults only)","20/21"
"New Anglia","LEP",202021,NA,"Education and training: Total",14010,20,"Education and training (adults only)","20/21"
"New Anglia","LEP",202021,NA,"Further education and skills: Total",23560,20,"Total FE and skills provision","20/21"
"North East","LEP",202021,NA,"Apprenticeships: Total",6510,20,"Apprenticeships (all ages)","20/21"
"North East","LEP",202021,NA,"Community learning: Total",7860,20,"Community learning (adults only)","20/21"
"North East","LEP",202021,NA,"Education and training: Total",34630,20,"Education and training (adults only)","20/21"
"North East","LEP",202021,NA,"Further education and skills: Total",47120,20,"Total FE and skills provision","20/21"
"Oxfordshire","LEP",202021,NA,"Apprenticeships: Total",1590,20,"Apprenticeships (all ages)","20/21"
"Oxfordshire","LEP",202021,NA,"Community learning: Total",2620,20,"Community learning (adults only)","20/21"
"Oxfordshire","LEP",202021,NA,"Education and training: Total",5810,20,"Education and training (adults only)","20/21"
"Oxfordshire","LEP",202021,NA,"Further education and skills: Total",9870,20,"Total FE and skills provision","20/21"
"Sheffield City Region","LEP",202021,NA,"Apprenticeships: Total",4170,20,"Apprenticeships (all ages)","20/21"
"Sheffield City Region","LEP",202021,NA,"Community learning: Total",3060,20,"Community learning (adults only)","20/21"
"Sheffield City Region","LEP",202021,NA,"Education and training: Total",19550,20,"Education and training (adults only)","20/21"
"Sheffield City Region","LEP",202021,NA,"Further education and skills: Total",26660,20,"Total FE and skills provision","20/21"
"Solent","LEP",202021,NA,"Apprenticeships: Total",4650,20,"Apprenticeships (all ages)","20/21"
"Solent","LEP",202021,NA,"Community learning: Total",4060,20,"Community learning (adults only)","20/21"
"Solent","LEP",202021,NA,"Education and training: Total",12600,20,"Education and training (adults only)","20/21"
"Solent","LEP",202021,NA,"Further education and skills: Total",22000,20,"Total FE and skills provision","20/21"
"South East","LEP",202021,NA,"Apprenticeships: Total",10690,20,"Apprenticeships (all ages)","20/21"
"South East","LEP",202021,NA,"Community learning: Total",15140,20,"Community learning (adults only)","20/21"
"South East","LEP",202021,NA,"Education and training: Total",34910,20,"Education and training (adults only)","20/21"
"South East","LEP",202021,NA,"Further education and skills: Total",60560,20,"Total FE and skills provision","20/21"
"South East Midlands","LEP",202021,NA,"Apprenticeships: Total",4600,20,"Apprenticeships (all ages)","20/21"
"South East Midlands","LEP",202021,NA,"Community learning: Total",4210,20,"Community learning (adults only)","20/21"
"South East Midlands","LEP",202021,NA,"Education and training: Total",19850,20,"Education and training (adults only)","20/21"
"South East Midlands","LEP",202021,NA,"Further education and skills: Total",28800,20,"Total FE and skills provision","20/21"
"Stoke-on-Trent and Staffordshire","LEP",202021,NA,"Apprenticeships: Total",3540,20,"Apprenticeships (all ages)","20/21"
"Stoke-on-Trent and Staffordshire","LEP",202021,NA,"Community learning: Total",3610,20,"Community learning (adults only)","20/21"
"Stoke-on-Trent and Staffordshire","LEP",202021,NA,"Education and training: Total",12260,20,"Education and training (adults only)","20/21"
"Stoke-on-Trent and Staffordshire","LEP",202021,NA,"Further education and skills: Total",19180,20,"Total FE and skills provision","20/21"
"Swindon and Wiltshire","LEP",202021,NA,"Apprenticeships: Total",2940,20,"Apprenticeships (all ages)","20/21"
"Swindon and Wiltshire","LEP",202021,NA,"Community learning: Total",930,20,"Community learning (adults only)","20/21"
"Swindon and Wiltshire","LEP",202021,NA,"Education and training: Total",6180,20,"Education and training (adults only)","20/21"
"Swindon and Wiltshire","LEP",202021,NA,"Further education and skills: Total",10630,20,"Total FE and skills provision","20/21"
"Tees Valley","LEP",202021,NA,"Apprenticeships: Total",2530,20,"Apprenticeships (all ages)","20/21"
"Tees Valley","LEP",202021,NA,"Community learning: Total",4800,20,"Community learning (adults only)","20/21"
"Tees Valley","LEP",202021,NA,"Education and training: Total",16240,20,"Education and training (adults only)","20/21"
"Tees Valley","LEP",202021,NA,"Further education and skills: Total",21980,20,"Total FE and skills provision","20/21"
"Thames Valley Berkshire","LEP",202021,NA,"Apprenticeships: Total",2270,20,"Apprenticeships (all ages)","20/21"
"Thames Valley Berkshire","LEP",202021,NA,"Community learning: Total",4200,20,"Community learning (adults only)","20/21"
"Thames Valley Berkshire","LEP",202021,NA,"Education and training: Total",7650,20,"Education and training (adults only)","20/21"
"Thames Valley Berkshire","LEP",202021,NA,"Further education and skills: Total",14110,20,"Total FE and skills provision","20/21"
"The Marches","LEP",202021,NA,"Apprenticeships: Total",2380,20,"Apprenticeships (all ages)","20/21"
"The Marches","LEP",202021,NA,"Community learning: Total",1300,20,"Community learning (adults only)","20/21"
"The Marches","LEP",202021,NA,"Education and training: Total",5830,20,"Education and training (adults only)","20/21"
"The Marches","LEP",202021,NA,"Further education and skills: Total",10090,20,"Total FE and skills provision","20/21"
"West of England","LEP",202021,NA,"Apprenticeships: Total",3270,20,"Apprenticeships (all ages)","20/21"
"West of England","LEP",202021,NA,"Community learning: Total",3700,20,"Community learning (adults only)","20/21"
"West of England","LEP",202021,NA,"Education and training: Total",11350,20,"Education and training (adults only)","20/21"
"West of England","LEP",202021,NA,"Further education and skills: Total",18020,20,"Total FE and skills provision","20/21"
"Worcestershire","LEP",202021,NA,"Apprenticeships: Total",1550,20,"Apprenticeships (all ages)","20/21"
"Worcestershire","LEP",202021,NA,"Community learning: Total",940,20,"Community learning (adults only)","20/21"
"Worcestershire","LEP",202021,NA,"Education and training: Total",4540,20,"Education and training (adults only)","20/21"
"Worcestershire","LEP",202021,NA,"Further education and skills: Total",7240,20,"Total FE and skills provision","20/21"
"York and North Yorkshire","LEP",202021,NA,"Apprenticeships: Total",3450,20,"Apprenticeships (all ages)","20/21"
