"subgroup","metric","breakdown","geogConcat","chartPeriod","value","timePeriod","latest","valueText"
"Process, plant and machine operatives","wfReplacement","Occupation (SOC2020 major)","Buckinghamshire LSIP",2035,0.0456697839682505,2035-01-01,1,"4.5669783968250499E-2"
"Sales and customer service occupations","wfReplacement","Occupation (SOC2020 major)","Buckinghamshire LSIP",2035,0.296181630199765,2035-01-01,1,"0.29618163019976507"
"Caring, leisure and other service occupations","wfReplacement","Occupation (SOC2020 major)","Buckinghamshire LSIP",2035,1.45629833803637,2035-01-01,1,"1.4562983380363725"
"Skilled trades occupations","wfReplacement","Occupation (SOC2020 major)","Buckinghamshire LSIP",2035,0.577085790039643,2035-01-01,1,"0.57708579003964289"
"Administrative and secretarial occupations","wfReplacement","Occupation (SOC2020 major)","Buckinghamshire LSIP",2035,-2.30662561590346,2035-01-01,1,"-2.3066256159034637"
"Associate professional occupations","wfReplacement","Occupation (SOC2020 major)","Buckinghamshire LSIP",2035,4.47435842575845,2035-01-01,1,"4.4743584257584459"
"Professional occupations","wfReplacement","Occupation (SOC2020 major)","Buckinghamshire LSIP",2035,11.0325910280043,2035-01-01,1,"11.032591028004262"
"Managers, directors and senior officials","wfReplacement","Occupation (SOC2020 major)","Buckinghamshire LSIP",2035,1.48785203315954,2035-01-01,1,"1.4878520331595411"
"Corporate managers and directors","wfReplacement","Occupation (SOC2020 submajor)","Buckinghamshire LSIP",2035,-0.373109894174874,2035-01-01,1,"-0.37310989417487406"
"Other managers and proprietors","wfReplacement","Occupation (SOC2020 submajor)","Buckinghamshire LSIP",2035,1.86096192733442,2035-01-01,1,"1.8609619273344169"
"Science, research, engineering and technology professionals","wfReplacement","Occupation (SOC2020 submajor)","Buckinghamshire LSIP",2035,7.58320036572846,2035-01-01,1,"7.5832003657284588"
"Health professionals","wfReplacement","Occupation (SOC2020 submajor)","Buckinghamshire LSIP",2035,0.00118254587371247,2035-01-01,1,"1.1825458737124706E-3"
"Teaching and other educational professionals","wfReplacement","Occupation (SOC2020 submajor)","Buckinghamshire LSIP",2035,0.321752803314048,2035-01-01,1,"0.32175280331404821"
"Business, media and public service professionals","wfReplacement","Occupation (SOC2020 submajor)","Buckinghamshire LSIP",2035,3.12645531308804,2035-01-01,1,"3.1264553130880444"
"Science, engineering and technology associate professionals","wfReplacement","Occupation (SOC2020 submajor)","Buckinghamshire LSIP",2035,0.080979039790801,2035-01-01,1,"8.0979039790801011E-2"
"Health and social care associate professionals","wfReplacement","Occupation (SOC2020 submajor)","Buckinghamshire LSIP",2035,3.51582354583822,2035-01-01,1,"3.5158235458382165"
"Protective service occupations","wfReplacement","Occupation (SOC2020 submajor)","Buckinghamshire LSIP",2035,-0.23257867857784,2035-01-01,1,"-0.23257867857784031"
"Culture, media and sports occupations","wfReplacement","Occupation (SOC2020 submajor)","Buckinghamshire LSIP",2035,-0.238649247936757,2035-01-01,1,"-0.23864924793675701"
"Business and public service associate professionals","wfReplacement","Occupation (SOC2020 submajor)","Buckinghamshire LSIP",2035,1.34878376664403,2035-01-01,1,"1.3487837666440292"
"Administrative occupations","wfReplacement","Occupation (SOC2020 submajor)","Buckinghamshire LSIP",2035,-0.449066823052632,2035-01-01,1,"-0.44906682305263246"
"Secretarial and related occupations","wfReplacement","Occupation (SOC2020 submajor)","Buckinghamshire LSIP",2035,-1.85755879285083,2035-01-01,1,"-1.8575587928508321"
"Skilled agricultural and related trades","wfReplacement","Occupation (SOC2020 submajor)","Buckinghamshire LSIP",2035,0.427630846997362,2035-01-01,1,"0.4276308469973622"
"Skilled metal, electrical and electronic trades","wfReplacement","Occupation (SOC2020 submajor)","Buckinghamshire LSIP",2035,-0.125423219206901,2035-01-01,1,"-0.12542321920690114"
