"area","geographic_level","time_period","cohort_level_group","all_unknown","all_notsust","cohort","appren","education","all_work"
"Stoke-on-Trent and Staffordshire","LEP",201819,"All other qualifications","48","141","414","60","61","104"
"Stoke-on-Trent and Staffordshire","LEP",201819,"Level 2","18","80","403","61","143","101"
"Stoke-on-Trent and Staffordshire","LEP",201819,"Level 3","31","80","1124","65","708","240"
"Stoke-on-Trent and Staffordshire","LEP",201819,"Total","97","301","1941","186","912","445"
"Stoke-on-Trent and Staffordshire","LEP",201920,"All other qualifications","40","135","387","49","71","92"
"Stoke-on-Trent and Staffordshire","LEP",201920,"Level 2","26","86","371","49","107","103"
"Stoke-on-Trent and Staffordshire","LEP",201920,"Level 3","32","106","1240","54","828","220"
"Stoke-on-Trent and Staffordshire","LEP",201920,"Total","98","327","1998","152","1006","415"
"Swindon and Wiltshire","LEP",201718,"All other qualifications","147","299","1202","147","179","430"
"Swindon and Wiltshire","LEP",201718,"Level 2","55","150","1122","184","267","466"
"Swindon and Wiltshire","LEP",201718,"Level 3","141","354","4439","324","2194","1426"
"Swindon and Wiltshire","LEP",201718,"Total","343","803","6763","655","2640","2322"
"Swindon and Wiltshire","LEP",201819,"All other qualifications","93","309","1174","178","202","392"
"Swindon and Wiltshire","LEP",201819,"Level 2","65","173","1264","208","328","490"
"Swindon and Wiltshire","LEP",201819,"Level 3","104","328","3963","268","1968","1295"
"Swindon and Wiltshire","LEP",201819,"Total","262","810","6401","654","2498","2177"
"Swindon and Wiltshire","LEP",201920,"All other qualifications","122","287","1127","135","189","394"
"Swindon and Wiltshire","LEP",201920,"Level 2","52","204","1092","133","291","412"
"Swindon and Wiltshire","LEP",201920,"Level 3","127","342","3967","218","2024","1256"
"Swindon and Wiltshire","LEP",201920,"Total","301","833","6186","486","2504","2062"
"Tees Valley","LEP",201718,"All other qualifications","145","382","1050","221","114","188"
"Tees Valley","LEP",201718,"Level 2","80","268","1156","218","302","288"
"Tees Valley","LEP",201718,"Level 3","181","450","5301","548","3179","943"
"Tees Valley","LEP",201718,"Total","406","1100","7507","987","3595","1419"
