"area","geographic_level","year","Year","jobpc","jobcnt"
"Stoke-on-Trent and Staffordshire","LSIP",2022,22,0.0146020232868868,107.1
"Swindon and Wiltshire","LEP",2017,17,0.0123870281765019,69.9
"Swindon and Wiltshire","LEP",2018,18,0.0132285811880881,85.2
"Swindon and Wiltshire","LEP",2019,19,0.0123653003126255,70.8
"Swindon and Wiltshire","LEP",2020,20,0.0134681513017848,65.8
"Swindon and Wiltshire","LEP",2021,21,0.0132575757575758,52.5
"Swindon and Wiltshire","LEP",2022,22,0.0104027486161481,76.3
"Swindon and Wiltshire","LSIP",2017,17,0.0123870281765019,69.9
"Swindon and Wiltshire","LSIP",2018,18,0.0132285811880881,85.2
"Swindon and Wiltshire","LSIP",2019,19,0.0123653003126255,70.8
"Swindon and Wiltshire","LSIP",2020,20,0.0134681513017848,65.8
"Swindon and Wiltshire","LSIP",2021,21,0.0132575757575758,52.5
"Swindon and Wiltshire","LSIP",2022,22,0.0104027486161481,76.3
"Tees Valley","LEP",2017,17,0.00611376927166401,34.5
"Tees Valley","LEP",2018,18,0.0054187498059187,34.9
"Tees Valley","LEP",2019,19,0.00536178982482491,30.7
"Tees Valley","LEP",2020,20,0.00540363517275258,26.4
"Tees Valley","LEP",2021,21,0.00810606060606061,32.1
"Tees Valley","LEP",2022,22,0.00658522618820385,48.3
"Tees Valley","LSIP",2017,17,0.00611376927166401,34.5
"Tees Valley","LSIP",2018,18,0.0054187498059187,34.9
"Tees Valley","LSIP",2019,19,0.00536178982482491,30.7
"Tees Valley","LSIP",2020,20,0.00540363517275258,26.4
"Tees Valley","LSIP",2021,21,0.00810606060606061,32.1
"Tees Valley","LSIP",2022,22,0.00658522618820385,48.3
"Thames Valley Berkshire","LEP",2017,17,0.0352472089314195,198.9
"Thames Valley Berkshire","LEP",2018,18,0.034329099773313,221.1
"Thames Valley Berkshire","LEP",2019,19,0.0359781336779782,206
"Thames Valley Berkshire","LEP",2020,20,0.0357172097592926,174.5
"Thames Valley Berkshire","LEP",2021,21,0.0283333333333333,112.2
"Thames Valley Berkshire","LEP",2022,22,0.0301038911460748,220.8
