"area","geographic_level","time_period","Total Completed Key Stage 4","Cohort Group","Unknown","Not Recorded as a Sustained Destination","Sustained Apprenticeships","Sustained Education","Sustained Employment"
"Dorset","LEP",201819,"591","All other qualifications","68","166","66","101","190"
"Dorset","LEP",201819,"750","Level 2","38","139","146","142","285"
"Dorset","LEP",201819,"1979","Level 3","127","194","97","1004","557"
"Dorset","LEP",201819,"3320","Total","233","499","309","1247","1032"
"Dorset","LEP",201920,"908","All other qualifications","107","241","113","182","265"
"Dorset","LEP",201920,"1035","Level 2","60","191","187","222","375"
"Dorset","LEP",201920,"4660","Level 3","252","446","286","2295","1381"
"Dorset","LEP",201920,"6603","Total","419","878","586","2699","2021"
"Greater Birmingham and Solihull","LEP",201718,"2279","All other qualifications","394","703","264","394","524"
"Greater Birmingham and Solihull","LEP",201718,"2154","Level 2","227","451","264","674","538"
"Greater Birmingham and Solihull","LEP",201718,"11438","Level 3","575","1080","634","7116","2033"
"Greater Birmingham and Solihull","LEP",201718,"15871","Total","1196","2234","1162","8184","3095"
"Greater Birmingham and Solihull","LEP",201819,"2246","All other qualifications","339","773","259","397","478"
"Greater Birmingham and Solihull","LEP",201819,"2662","Level 2","207","579","302","907","667"
"Greater Birmingham and Solihull","LEP",201819,"10167","Level 3","441","1009","601","6482","1634"
"Greater Birmingham and Solihull","LEP",201819,"15075","Total","987","2361","1162","7786","2779"
"Greater Birmingham and Solihull","LEP",201920,"2339","All other qualifications","375","795","234","452","483"
"Greater Birmingham and Solihull","LEP",201920,"2382","Level 2","155","576","244","819","588"
"Greater Birmingham and Solihull","LEP",201920,"11053","Level 3","437","1056","525","7098","1937"
"Greater Birmingham and Solihull","LEP",201920,"15774","Total","967","2427","1003","8369","3008"
"Greater Cambridge and Greater Peterborough","LEP",201718,"601","All other qualifications","81","149","64","120","187"
"Greater Cambridge and Greater Peterborough","LEP",201718,"540","Level 2","37","76","52","205","170"
"Greater Cambridge and Greater Peterborough","LEP",201718,"1519","Level 3","62","104","102","839","412"
"Greater Cambridge and Greater Peterborough","LEP",201718,"2660","Total","180","329","218","1164","769"
"Greater Cambridge and Greater Peterborough","LEP",201819,"625","All other qualifications","77","190","70","85","203"
"Greater Cambridge and Greater Peterborough","LEP",201819,"478","Level 2","35","98","61","93","191"
"Greater Cambridge and Greater Peterborough","LEP",201819,"1396","Level 3","60","108","96","826","306"
"Greater Cambridge and Greater Peterborough","LEP",201819,"2499","Total","172","396","227","1004","700"
"Greater Cambridge and Greater Peterborough","LEP",201920,"650","All other qualifications","84","162","84","134","186"
"Greater Cambridge and Greater Peterborough","LEP",201920,"519","Level 2","24","103","57","146","189"
"Greater Cambridge and Greater Peterborough","LEP",201920,"1526","Level 3","40","112","74","918","382"
"Greater Cambridge and Greater Peterborough","LEP",201920,"2695","Total","148","377","215","1198","757"
"Greater Lincolnshire","LEP",201718,"824","All other qualifications","95","260","136","159","174"
"Greater Lincolnshire","LEP",201718,"926","Level 2","50","178","162","265","271"
"Greater Lincolnshire","LEP",201718,"2564","Level 3","101","221","265","1375","602"
"Greater Lincolnshire","LEP",201718,"4314","Total","246","659","563","1799","1047"
"Greater Lincolnshire","LEP",201819,"729","All other qualifications","75","254","112","108","180"
"Greater Lincolnshire","LEP",201819,"1041","Level 2","50","225","168","292","306"
"Greater Lincolnshire","LEP",201819,"2375","Level 3","90","234","250","1270","531"
"Greater Lincolnshire","LEP",201819,"4145","Total","215","713","530","1670","1017"
"Greater Lincolnshire","LEP",201920,"911","All other qualifications","82","316","112","170","231"
"Greater Lincolnshire","LEP",201920,"954","Level 2","46","235","149","245","279"
"Greater Lincolnshire","LEP",201920,"2823","Level 3","82","291","233","1604","613"
"Greater Lincolnshire","LEP",201920,"4688","Total","210","842","494","2019","1123"
"Greater Manchester","LEP",201718,"4266","All other qualifications","617","1305","633","753","958"
"Greater Manchester","LEP",201718,"4340","Level 2","323","866","686","1135","1330"
"Greater Manchester","LEP",201718,"19621","Level 3","771","1659","1573","11532","4086"
"Greater Manchester","LEP",201718,"28227","Total","1711","3830","2892","13420","6374"
"Greater Manchester","LEP",201819,"4332","All other qualifications","547","1337","597","881","970"
"Greater Manchester","LEP",201819,"6221","Level 2","325","1235","697","2262","1702"
"Greater Manchester","LEP",201819,"18287","Level 3","629","1479","1405","11160","3614"
"Greater Manchester","LEP",201819,"28840","Total","1501","4051","2699","14303","6286"
"Greater Manchester","LEP",201920,"4345","All other qualifications","581","1377","574","813","1001"
"Greater Manchester","LEP",201920,"3860","Level 2","244","921","533","1085","1077"
"Greater Manchester","LEP",201920,"19348","Level 3","677","1827","1263","11692","3889"
"Greater Manchester","LEP",201920,"27553","Total","1502","4125","2370","13590","5967"
"Heart of the South West","LEP",201718,"757","All other qualifications","83","253","114","132","175"
"Heart of the South West","LEP",201718,"1052","Level 2","81","199","198","222","352"
"Heart of the South West","LEP",201718,"2862","Level 3","117","266","278","1453","748"
"Heart of the South West","LEP",201718,"4671","Total","281","718","590","1807","1275"
"Heart of the South West","LEP",201819,"664","All other qualifications","58","211","126","123","146"
"Heart of the South West","LEP",201819,"1232","Level 2","59","239","284","314","336"
"Heart of the South West","LEP",201819,"2635","Level 3","94","228","198","1454","661"
